"filename", "language", "TypeScript", "JavaScript", "comment", "blank", "total"
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\elastic\BranchModel.ts", "TypeScript", 237, 0, 29, 26, 292
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\elastic\ErrorModel.ts", "TypeScript", 82, 0, 11, 15, 108
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\elastic\elstClient.ts", "TypeScript", 0, 0, 576, 54, 630
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\interfaces\IApiRequest.ts", "TypeScript", 11, 0, 0, 1, 12
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\interfaces\IBranch.ts", "TypeScript", 64, 0, 1, 1, 66
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\interfaces\IBranchQueryResponse.ts", "TypeScript", 0, 0, 9, 3, 12
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\interfaces\api-responses\IGenericApiResponse.ts", "TypeScript", 18, 0, 0, 2, 20
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\interfaces\api-responses\ILocationGetServices.ts", "TypeScript", 17, 0, 0, 1, 18
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\interfaces\api-responses\ISearchAvailableDates.ts", "TypeScript", 6, 0, 0, 1, 7
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\interfaces\api-responses\ISearchAvailableSlots.ts", "TypeScript", 3, 0, 0, 1, 4
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\interfaces\api-responses\IUserCreateAnonymous.ts", "TypeScript", 13, 0, 0, 1, 14
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\isreal-post-requests\PostBaseRequest.ts", "TypeScript", 119, 0, 4, 15, 138
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\isreal-post-requests\PostDatesRequest.ts", "TypeScript", 65, 0, 12, 16, 93
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\isreal-post-requests\PostServiceRequest.ts", "TypeScript", 82, 0, 12, 17, 111
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\isreal-post-requests\PostTimesRequest.ts", "TypeScript", 55, 0, 12, 17, 84
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\isreal-post-requests\PostUserRequest.ts", "TypeScript", 62, 0, 9, 15, 86
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\middlewares\error-handler.ts", "TypeScript", 8, 0, 13, 5, 26
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\proxy-management\ProxyCollection.ts", "TypeScript", 44, 0, 10, 11, 65
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\proxy-management\SmartProxyCollection.ts", "TypeScript", 13, 0, 2, 4, 19
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\proxy-management\WebShareCollection.ts", "TypeScript", 13, 0, 2, 4, 19
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\puppeteer\pptr-browser.ts", "TypeScript", 115, 0, 2, 18, 135
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\redis\BaseRedisQueue.ts", "TypeScript", 40, 0, 6, 11, 57
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\redis\BranchesToProcess.ts", "TypeScript", 20, 0, 0, 7, 27
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\redis\ProcessedBranches.ts", "TypeScript", 20, 0, 0, 7, 27
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\redis\RedisTest.ts", "TypeScript", 30, 0, 15, 11, 56
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\routes\AllBranches.ts", "TypeScript", 64, 0, 4, 7, 75
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\routes\TestLab.ts", "TypeScript", 226, 0, 43, 30, 299
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\routes\TimeSlots.ts", "TypeScript", 18, 0, 21, 9, 48
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\scrape-multithreaded\BranchUpdater.ts", "TypeScript", 32, 0, 24, 12, 68
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\scrape-multithreaded\CParentPort.ts", "TypeScript", 25, 0, 6, 8, 39
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\scrape-multithreaded\CWorker.ts", "TypeScript", 31, 0, 13, 8, 52
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\scrape-multithreaded\ContinuesUpdate.ts", "TypeScript", 106, 0, 63, 27, 196
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\scrape-multithreaded\IpManager.ts", "TypeScript", 121, 0, 106, 38, 265
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\scrape-multithreaded\ManageWorkers.ts", "TypeScript", 0, 0, 357, 36, 393
"c:\Users\AlexanderB\Desktop\My Content\Projects\IsraelRePost\IsraelRePost\src\typescript\scrape-multithreaded\Worker.ts", "TypeScript", 0, 0, 151, 18, 169
